SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
W0C/FR-001,USA - Colorado,CO-Front Range,Mount Lincoln,4354,14286,-106.1112,39.3514,-106.1112,39.3514,10,3,01/05/2010,31/12/2099,30,04/08/2025,W0RTA
W0C/FR-002,USA - Colorado,CO-Front Range,Grays Peak,4349,14270,-105.8175,39.6338,-105.8175,39.6338,10,3,01/05/2010,31/12/2099,29,01/08/2025,WV0X
W0C/FR-003,USA - Colorado,CO-Front Range,Mount Blue Sky,4348,14264,-105.6434,39.5884,-105.6434,39.5884,10,3,01/05/2010,31/12/2099,154,01/09/2025,W0SKY
W0C/FR-004,USA - Colorado,CO-Front Range,Pikes Peak,4301,14110,-105.0444,38.8406,-105.0444,38.8406,10,3,01/05/2010,31/12/2099,263,03/01/2026,W8WJG
W0C/FR-005,USA - Colorado,CO-Front Range,Mount Silverheels,4213,13822,-106.0053,39.3394,-106.0053,39.3394,10,3,01/05/2010,31/12/2099,12,06/08/2025,K5SJC
W0C/FR-006,USA - Colorado,CO-Front Range,Bard Peak,4158,13641,-105.8042,39.7203,-105.8042,39.7203,10,3,01/05/2010,31/12/2099,24,12/07/2025,WV0X
W0C/FR-007,USA - Colorado,CO-Front Range,Rosalie Peak,4138,13575,-105.6065,39.5561,-105.6065,39.5561,10,3,01/05/2010,31/12/2099,42,22/06/2025,W0SKY
W0C/FR-008,USA - Colorado,CO-Front Range,Hagues Peak,4133,13560,-105.6463,40.4845,-105.6463,40.4845,10,3,01/05/2010,31/12/2099,5,05/08/2023,N0BCB
W0C/FR-009,USA - Colorado,CO-Front Range,Ypsilon Mountain,4119,13514,-105.6812,40.4572,-105.6812,40.4572,10,3,01/05/2010,31/12/2099,32,20/09/2025,K0MOS
W0C/FR-010,USA - Colorado,CO-Front Range,Fairchild Mountain,4115,13502,-105.6643,40.4685,-105.6643,40.4685,10,3,01/05/2010,31/12/2099,6,05/08/2023,N0BCB
W0C/FR-011,USA - Colorado,CO-Front Range,Apache Peak,4097,13441,-105.6509,40.0584,-105.6509,40.0584,8,3,01/05/2010,31/12/2099,2,25/08/2017,KX0R
W0C/FR-012,USA - Colorado,CO-Front Range,Mount Alice,4057,13310,-105.6635,40.2392,-105.6635,40.2392,8,3,01/05/2010,31/12/2099,2,06/09/2021,K0MOS
W0C/FR-013,USA - Colorado,CO-Front Range,Mount Audubon,4030,13223,-105.6162,40.099,-105.6162,40.099,8,3,01/05/2010,31/12/2099,17,14/10/2025,W4LZZ
W0C/FR-014,USA - Colorado,CO-Front Range,Copeland Mountain,4016,13176,-105.6464,40.182,-105.6464,40.182,8,3,01/05/2010,31/12/2099,3,07/07/2025,N0BAA
W0C/FR-015,USA - Colorado,CO-Front Range,Mount Jasper,3939,12923,-105.6831,39.9947,-105.6831,39.9947,8,3,01/05/2010,31/12/2099,3,16/07/2023,N0QLR
W0C/FR-016,USA - Colorado,CO-Front Range,Mount Ida,3932,12900,-105.7792,40.3717,-105.7792,40.3717,8,3,01/05/2010,31/12/2099,22,06/09/2024,K0MOS
W0C/FR-017,USA - Colorado,CO-Front Range,Mount Logan,3923,12870,-105.6314,39.4958,-105.6314,39.4958,8,3,01/05/2010,31/12/2099,6,10/08/2022,N0IPA
W0C/FR-018,USA - Colorado,CO-Front Range,Hallett Peak,3875,12713,-105.6861,40.3028,-105.6861,40.3028,8,3,01/05/2010,31/12/2099,18,03/05/2025,KF0QGT
W0C/FR-019,USA - Colorado,CO-Front Range,Sundance Mountain,3800,12466,-105.7106,40.4083,-105.7106,40.4083,6,3,01/05/2010,31/12/2099,65,12/09/2025,WV0X
W0C/FR-020,USA - Colorado,CO-Front Range,Kataka Mountain,3792,12441,-105.6609,39.5293,-105.6609,39.5293,6,3,01/05/2010,31/12/2099,4,19/07/2025,W0XC
W0C/FR-021,USA - Colorado,CO-Front Range,Bison Peak,3789,12431,-105.4978,39.2385,-105.4978,39.2385,6,3,01/05/2010,31/12/2099,5,12/08/2022,KX0R
W0C/FR-022,USA - Colorado,CO-Front Range,Peak X,3788,12429,-105.6053,39.368,-105.6053,39.368,6,3,01/05/2010,31/12/2099,27,13/12/2025,KF0QGT
W0C/FR-023,USA - Colorado,CO-Front Range,Almagre Mountain,3769,12367,-104.9935,38.7913,-104.9935,38.7913,6,3,01/05/2010,31/12/2099,28,02/08/2025,KF0ULF
W0C/FR-025,USA - Colorado,CO-Front Range,McCurdy Mountain,3709,12168,-105.4683,39.2194,-105.4683,39.2194,6,3,01/05/2010,31/12/2099,2,08/10/2020,KX0R
W0C/FR-026,USA - Colorado,CO-Front Range,Saint Vrain Mountain,3707,12162,-105.5856,40.161,-105.5856,40.161,6,3,01/05/2010,31/12/2099,37,26/09/2025,K0MOS
W0C/FR-027,USA - Colorado,CO-Front Range,Cameron Peak,3696,12127,-105.8947,40.6247,-105.8947,40.6247,6,3,01/05/2010,31/12/2099,1,13/10/2013,K0MOS
W0C/FR-028,USA - Colorado,CO-Front Range,Windy Mountain,3843,12608,-106.402,37.4661,-106.402,37.4661,8,3,01/05/2010,31/12/2099,2,29/08/2021,KF0BGL
W0C/FR-029,USA - Colorado,CO-Front Range,North Tarryall Peak,3628,11902,-105.6106,39.3119,-105.6106,39.3119,6,3,01/05/2010,31/12/2099,25,10/09/2025,WA2USA/P
W0C/FR-030,USA - Colorado,CO-Front Range,Chief Mountain,3569,11709,-105.5228,39.6757,-105.5228,39.6757,6,3,01/05/2010,31/12/2099,218,06/02/2026,NA0MT
W0C/FR-031,USA - Colorado,CO-Front Range,Black Mountain,3552,11654,-105.6873,38.7184,-105.6873,38.7184,6,3,01/05/2010,31/12/2099,34,28/11/2025,W0XC
W0C/FR-032,USA - Colorado,CO-Front Range,Buffalo Peak,3532,11589,-105.3681,39.2755,-105.3681,39.2755,6,3,01/05/2010,31/12/2099,4,10/10/2020,KX0R
W0C/FR-033,USA - Colorado,CO-Front Range,Saxon Mountain,3519,11546,-105.6695,39.7233,-105.6695,39.7233,6,3,01/05/2010,31/12/2099,9,19/09/2025,KG0AT
W0C/FR-034,USA - Colorado,CO-Front Range,Mount Rosa,3505,11499,-104.948,38.7541,-104.948,38.7541,6,3,01/05/2010,31/12/2099,56,13/02/2026,KF0VVN
W0C/FR-035,USA - Colorado,CO-Front Range,Meridian Hill,3502,11490,-105.4864,39.5564,-105.4864,39.5564,6,3,01/05/2010,31/12/2099,9,07/02/2026,N0BAA
W0C/FR-036,USA - Colorado,CO-Front Range,Bighorn Mountain,3494,11463,-105.62,40.4296,-105.62,40.4296,6,3,01/05/2010,31/12/2099,26,28/09/2025,K0MOS
W0C/FR-037,USA - Colorado,CO-Front Range,East Twin Sisters Peaks,3483,11428,-105.5174,40.2885,-105.5174,40.2885,6,3,01/05/2010,31/12/2099,77,12/08/2025,KX0R
W0C/FR-038,USA - Colorado,CO-Front Range,South Tarryall Peak,3416,11206,-105.441,39.1549,-105.441,39.1549,6,3,01/05/2010,31/12/2099,13,05/10/2025,K5SJC
W0C/FR-039,USA - Colorado,CO-Front Range,Estes Cone,3355,11006,-105.5672,40.2951,-105.5672,40.2951,6,3,01/05/2010,31/12/2099,59,19/06/2025,KX0R
W0C/FR-040,USA - Colorado,CO-Front Range,Mount Garfield,3335,10940,-104.9475,38.8076,-104.9475,38.8076,6,3,01/05/2010,31/12/2099,10,12/09/2024,KF0RIG
W0C/FR-041,USA - Colorado,CO-Front Range,Dicks Peak,3268,10722,-105.6405,38.7954,-105.6405,38.7954,6,3,01/05/2010,31/12/2099,66,22/01/2026,KF0RIG
W0C/FR-042,USA - Colorado,CO-Front Range,Santa Fe Mountain,3212,10537,-105.4715,39.7105,-105.4715,39.7105,6,3,01/05/2010,31/12/2099,54,13/02/2026,WV0X
W0C/FR-044,USA - Colorado,CO-Front Range,Green Mountain,3176,10421,-105.3001,39.3052,-105.3001,39.3052,4,3,01/05/2010,31/12/2099,16,10/09/2025,KX0R
W0C/FR-045,USA - Colorado,CO-Front Range,Mount Pisgah,3167,10390,-105.218,38.7558,-105.218,38.7558,4,3,01/05/2010,31/12/2099,16,04/11/2023,K0ATV
W0C/FR-046,USA - Colorado,CO-Front Range,West White Pine Mountain,3141,10305,-105.4717,40.6052,-105.4717,40.6052,4,3,01/05/2010,31/12/2099,16,14/06/2025,N0DET
W0C/FR-047,USA - Colorado,CO-Front Range,Mount Judge,3140,10301,-105.4563,39.6673,-105.4563,39.6673,4,3,01/05/2010,31/12/2099,73,11/02/2026,WV0X
W0C/FR-048,USA - Colorado,CO-Front Range,Thunder Butte,2998,9836,-105.1975,39.1717,-105.1975,39.1717,4,3,01/05/2010,31/12/2099,30,01/08/2025,KD8EQA
W0C/FR-049,USA - Colorado,CO-Front Range,Centralia Mountain,2986,9795,-105.3705,39.8284,-105.3705,39.8284,4,3,01/05/2010,31/12/2099,20,16/11/2025,W0SKY
W0C/FR-050,USA - Colorado,CO-Front Range,Lily Mountain,2983,9786,-105.5411,40.3191,-105.5411,40.3191,4,3,01/05/2010,31/12/2099,70,12/10/2025,WS0UP
W0C/FR-051,USA - Colorado,CO-Front Range,Devils Head,2971,9748,-105.1013,39.2603,-105.1013,39.2603,4,3,01/05/2010,31/12/2099,90,18/01/2026,N0MTN
W0C/FR-052,USA - Colorado,CO-Front Range,Ormes Peak,2965,9727,-104.935,38.9506,-104.935,38.9506,4,3,01/05/2010,31/12/2099,98,15/11/2025,KF0RUA
W0C/FR-053,USA - Colorado,CO-Front Range,Cheyenne Mountain,2915,9565,-104.8807,38.7371,-104.8807,38.7371,4,3,01/05/2010,31/12/2099,52,12/01/2026,N1SMB
W0C/FR-054,USA - Colorado,CO-Front Range,Douglas Mountain,2911,9550,-105.6761,39.7518,-105.6761,39.7518,4,3,01/05/2010,31/12/2099,69,26/12/2025,WBØJNR
W0C/FR-055,USA - Colorado,CO-Front Range,Kenny Mountain,2832,9290,-105.417,40.2916,-105.417,40.2916,4,3,01/05/2010,31/12/2099,24,19/06/2025,K0MOS
W0C/FR-056,USA - Colorado,CO-Front Range,Panorama Peak,2830,9284,-105.4087,40.352,-105.4087,40.352,4,3,01/05/2010,31/12/2099,67,12/01/2026,KX0R
W0C/FR-057,USA - Colorado,CO-Front Range,Crosier Mountain,2819,9250,-105.4248,40.4322,-105.4248,40.4322,4,3,01/05/2010,31/12/2099,46,04/02/2026,KX0R
W0C/FR-058,USA - Colorado,CO-Front Range,Emerald Mountain,2815,9237,-105.5872,40.3307,-105.5872,40.3307,4,3,01/05/2010,31/12/2099,86,17/01/2026,WV0X
W0C/FR-059,USA - Colorado,CO-Front Range,Little Scraggy Peak,2802,9192,-105.2754,39.3148,-105.2754,39.3148,4,3,01/05/2010,31/12/2099,72,02/02/2026,N0IPA
W0C/FR-060,USA - Colorado,CO-Front Range,Berrian Mountain,2788,9147,-105.2923,39.5549,-105.2923,39.5549,4,3,01/05/2010,31/12/2099,139,30/01/2026,N5YCO
W0C/FR-061,USA - Colorado,CO-Front Range,Taylor Mountain,2784,9134,-105.4678,40.1957,-105.4678,40.1957,4,3,01/05/2010,31/12/2099,114,08/02/2026,KK6SQ
W0C/FR-062,USA - Colorado,CO-Front Range,Mount Bailey,2770,9089,-105.4597,39.4152,-105.4597,39.4152,4,3,01/05/2010,31/12/2099,80,21/02/2025,N3BEN
W0C/FR-063,USA - Colorado,CO-Front Range,Mount Herman,2762,9063,-104.9264,39.0818,-104.9264,39.0818,4,3,01/05/2010,31/12/2099,592,05/02/2026,W7UM
W0C/FR-064,USA - Colorado,CO-Front Range,West Crosier,2749,9020,-105.4384,40.4291,-105.4384,40.4291,4,3,01/05/2010,31/12/2099,40,09/02/2026,KX0R
W0C/FR-065,USA - Colorado,CO-Front Range,Doublehead Mountain,2737,8980,-105.258,39.562,-105.258,39.562,2,3,01/05/2010,31/12/2099,0,,
W0C/FR-066,USA - Colorado,CO-Front Range,Tappan Mountain,2729,8954,-105.3908,39.0732,-105.3908,39.0732,2,0,01/05/2010,31/12/2099,51,03/01/2026,K5DPY
W0C/FR-067,USA - Colorado,CO-Front Range,Crescent Mountain,2726,8945,-105.3136,39.893,-105.3136,39.893,2,0,01/05/2010,31/12/2099,0,,
W0C/FR-068,USA - Colorado,CO-Front Range,Eagle Cliff Mountain,2715,8906,-105.5757,40.3585,-105.5757,40.3585,2,0,01/05/2010,31/12/2099,40,22/11/2025,KX0R
W0C/FR-069,USA - Colorado,CO-Front Range,Prospect Mountain,2713,8900,-105.5219,40.3596,-105.5219,40.3596,2,0,01/05/2010,31/12/2099,57,22/05/2025,K7MAS/P
W0C/FR-070,USA - Colorado,CO-Front Range,Castle Mountain,2693,8834,-105.5502,40.3895,-105.5502,40.3895,2,0,01/05/2010,31/12/2099,28,26/10/2025,N0DET
W0C/FR-071,USA - Colorado,CO-Front Range,Long Scraggy Peak,2686,8812,-105.2019,39.3493,-105.2019,39.3493,2,0,01/05/2010,31/12/2099,14,13/10/2025,KX0R
W0C/FR-072,USA - Colorado,CO-Front Range,Mount Olympus,2685,8808,-105.4617,40.3748,-105.4617,40.3748,2,0,01/05/2010,31/12/2099,34,25/09/2025,N0DET
W0C/FR-073,USA - Colorado,CO-Front Range,Redskin Mountain,2677,8783,-105.3639,39.3587,-105.3639,39.3587,2,0,01/05/2010,31/12/2099,29,16/05/2025,KX0R
